,count,mean,std,min,25%,50%,75%,max
Time,717255.0,551044.6477539369,330913.44784022553,2098.0,269367.5,491616.0,850294.5,1191132.0
Pos_X,717255.0,-0.0037561715712089677,0.023718081974772827,-0.0498128,-0.0251547,-0.00542391,0.0173607,0.0424885
Pos_Y,717255.0,-0.0023086859623117177,0.024236660922268866,-0.0571814,-0.0195515,-0.0017587,0.01416475,0.0571735
Pos_Z,717255.0,-0.0007819843950464604,0.02374469938067248,-0.0668294,-0.0178375,-0.000970653,0.016350450000000002,0.0660906
Vel_X,717255.0,-0.05687078988953455,0.026300429877572914,-0.208784,-0.07387795,-0.0557778,-0.03917015,-1.04204e-06
Vel_Y,717255.0,-0.005871605856857899,0.03054664809630074,-0.223884,-0.022299649999999997,-0.00418803,0.0112402,0.198023
Vel_Z,717255.0,-0.0005974039862883437,0.030971202604048776,-0.19666,-0.0165942,-0.000759748,0.015056,0.223445
C_Force,717255.0,7.556652794333954,6.100027410036301,-3.5,2.5,7.0,13.0,18.0
F_Force,717255.0,7.556690328543515,6.100037251597677,-3.51111,2.501,7.00366,13.0086,18.0518
A_Force_X,717255.0,-0.5667344062906162,0.7194016269125075,-5.01686,-0.9252115,-0.549326,-0.151033,3.18828
A_Force_Y,717255.0,1.0256213704487012,0.8299453248597011,-2.32313,0.5211005,0.990613,1.51106,5.02384
A_Force_Z,717255.0,-6.177759848669486,3.508924514711488,-18.0268,-9.077325,-6.31523,-3.4585850000000002,4.04992
